rank,mu1_flavor,mu2_role,accuracy,average_margin,evaluations
1,0.652146383378835,0.347853616621165,0.8936170212765957,0.03478747689759883,47
2,0.7155059240426467,0.2844940759573533,0.8936170212765957,0.027175952519715885,47
3,0.665631954664373,0.33436804533562703,0.8936170212765957,0.03316742483418199,47
4,0.62434905683057,0.37565094316943004,0.8936170212765957,0.03812683236712069,47
5,0.6198853749511101,0.38011462504888993,0.8936170212765957,0.03866306452860208,47
6,0.6252447825849119,0.3747552174150881,0.8936170212765957,0.038019226814055736,47
7,0.630041966353168,0.369958033646832,0.8936170212765957,0.03744293031924669,47
8,0.5813948507410134,0.4186051492589866,0.8936170212765957,0.04328701792651517,47
9,0.5645270611273216,0.43547293887267835,0.8936170212765957,0.04531338349830579,47
10,0.6536221920164832,0.3463778079835168,0.8936170212765957,0.03461018468075412,47
