rank,lambda_synergy,lambda_conflict,lambda_balance,accuracy,average_margin,extremeness_penalty,subtype_imbalance,objective,accuracy_balance_change_role,accuracy_synergy_insert_different_type,accuracy_conflict_acid_sweetener_ratio_break,accuracy_balance_change_amount,accuracy_synergy_replace_with_different_type,accuracy_balance_remove_key_ingredient,accuracy_conflict_add_extra_base_spirit,accuracy_conflict_create_incompatible_type_pair,accuracy_synergy_replace_with_different_anchor
1,0.31468425970464575,0.3610899352223639,0.3242258050729905,0.997,0.05160082875841974,0.00040038798888242943,0.004405928904973269,1.001899747631705,0.9954441913439636,1.0,1.0,0.9969230769230769,1.0,1.0,0.9866666666666667,1.0,0.9924433249370277
2,0.41809558951769726,0.26169049718885184,0.32021391329345095,0.9953333333333333,0.05041130714851111,0.004163151742157211,0.004819931348677726,0.9997171523065348,0.9931662870159453,0.9949367088607595,0.989010989010989,1.0,1.0,0.9958762886597938,0.9866666666666667,0.9896907216494846,1.0
3,0.37821625917190227,0.26329724501153595,0.3584864958165619,0.9916666666666667,0.05573992076047649,0.0025174040940522595,0.009092124074057692,0.9965343121296063,0.9863325740318907,1.0,0.978021978021978,0.9969230769230769,0.9972527472527473,0.977319587628866,1.0,1.0,1.0
4,0.38227645329433496,0.24558452352327761,0.37213902318238734,0.99,0.05752446470862365,0.0038670547264197663,0.009615068711295121,0.9948849875626556,0.9840546697038725,1.0,0.9743589743589743,0.9969230769230769,0.9917582417582418,0.977319587628866,1.0,1.0,0.9974811083123426
5,0.5061673326827036,0.1911799541728,0.3026527131444962,0.9876666666666667,0.0475226479986342,0.017006824997676057,0.00957851348972695,0.9902393232922762,0.9863325740318907,0.9848101265822785,0.9743589743589743,0.9969230769230769,0.9945054945054945,0.9855670103092784,0.9688888888888889,0.9896907216494846,1.0
6,0.34361616608064666,0.24644031887275297,0.4099435150466003,0.984,0.06278325708022965,0.004508417517831878,0.013870601274243985,0.9891339538925276,0.9817767653758542,1.0,0.9597069597069597,0.9969230769230769,0.9807692307692307,0.9690721649484536,1.0,1.0,0.9848866498740554
7,0.34153738134202777,0.2411454074884356,0.4173172111695365,0.9836666666666667,0.06377424607599223,0.005206403937239875,0.013913648765486699,0.9888277684422676,0.9817767653758542,1.0,0.9597069597069597,0.9969230769230769,0.9807692307692307,0.9690721649484536,1.0,1.0,0.982367758186398
8,0.28855055487213127,0.2818222102758709,0.42962723485199794,0.9823333333333333,0.06574350042789183,0.00464380283834414,0.013420498139280791,0.987772278185324,0.9817767653758542,1.0,0.9743589743589743,0.9969230769230769,0.967032967032967,0.9690721649484536,1.0,1.0,0.9748110831234257
9,0.29530035857065834,0.27815753951507605,0.4265421019142656,0.9823333333333333,0.06529148562306591,0.0043929166443823,0.013420498139280791,0.9877521653242376,0.9817767653758542,1.0,0.9743589743589743,0.9969230769230769,0.967032967032967,0.9690721649484536,1.0,1.0,0.9748110831234257
10,0.21189219957315436,0.4960470294819514,0.2920607709448943,0.985,0.0479892588499513,0.014309040096470027,0.012752848723145025,0.9877303794391908,0.9817767653758542,1.0,1.0,0.9907692307692307,0.978021978021978,0.9896907216494846,0.9777777777777777,1.0,0.9596977329974811
