rank,alpha1_flavor,alpha2_cooccur,alpha3_anchor,accuracy,average_margin,evaluations
1,0.6452470556925287,0.31921863271116846,0.035534311596302826,0.51,0.03950363273064379,100
2,0.7096222055571673,0.276138280507694,0.014239513935138717,0.51,-0.019244967290471423,100
3,0.721450643662248,0.27127799470193975,0.007271361635812329,0.51,-0.026937259304090237,100
4,0.6701342302967243,0.3191972500088993,0.010668519694376379,0.51,0.033680362193363546,100
5,0.6622780693530486,0.3021221521440403,0.035599778502911135,0.51,0.0181744715176828,100
6,0.7103612373951845,0.28359298712904785,0.006045775475767688,0.51,-0.011848077366202376,100
7,0.6265747211453118,0.3398548294099904,0.033570449444697836,0.5,0.06480947575235499,100
8,0.22636741619842715,0.7308246711316976,0.04280791266987527,0.5,0.5550765089275692,100
9,0.23268035484676874,0.710336575404205,0.05698306974902623,0.5,0.532802194401237,100
10,0.5551258437934817,0.4338616906118857,0.011012465594632592,0.5,0.17691551694267305,100
