epoch,train_loss,train_accuracy,train_margin,valid_loss,valid_accuracy,valid_margin
1,0.18808523452840745,0.99875,2.3696408262476325,0.17224631461004417,1.0,2.3897572449843087
2,0.17026946238552532,1.0,2.501883977651596,0.17083271622657775,1.0,2.4128088770310083
3,0.1696194305177778,1.0,2.505271285921335,0.17160449003179867,1.0,2.3435919886827468
4,0.16949014518254746,1.0,2.5058134692907332,0.16986264201502005,1.0,2.4990513112147648
5,0.16931702486239375,1.0,2.506314395070076,0.16942258494595686,1.0,2.499994301994642
6,0.16908319980682185,1.0,2.5069045587380727,0.1710981828471025,1.0,2.342977690696716
7,0.16905593005940317,1.0,2.5066966683169207,0.17044295911987623,1.0,2.5086361340681713
8,0.16904873901357254,1.0,2.507304079135259,0.16996578752994537,1.0,2.471027724345525
9,0.1689552716833229,1.0,2.5073999315003554,0.16998279504477978,1.0,2.4362065410614013
10,0.16898677859610567,1.0,2.5071247447033724,0.1706858797868093,1.0,2.4045507778724033
11,0.16896181255578996,1.0,2.50736120869716,0.16939197649558385,1.0,2.564351574977239
12,0.1689356114078934,1.0,2.5079007555544375,0.16940017759799958,1.0,2.4739677904049557
13,0.1688566556479782,1.0,2.5077941036224365,0.16979068137705325,1.0,2.5372202134132387
14,0.16894383722761025,1.0,2.50719822888573,0.1701754735161861,1.0,2.455244246125221
15,0.16891868090257048,1.0,2.507299731125434,0.1698266003280878,1.0,2.4552367573976515
16,0.16889481106462578,1.0,2.5081706714630125,0.16942559202512106,1.0,2.4665476046005885
17,0.16886454584077001,1.0,2.507892149090767,0.1696750407417615,1.0,2.488544878959656
18,0.16887909151613711,1.0,2.507591868589322,0.16954023780922095,1.0,2.5603679682811102
19,0.16883056024710338,1.0,2.5081503981351854,0.16977143056690694,1.0,2.4348721539974214
20,0.16886246545240283,1.0,2.5078734790285426,0.16996496580541134,1.0,2.4172073862950008
21,0.16884365781365585,1.0,2.5071083526313305,0.16920493716994922,1.0,2.5034308425585428
