perturb_type,accuracy,avg_margin,avg_loss,total_samples
balance_change_role,0.9886104783599089,0.4217052664056183,0.5855974541438196,439
balance_remove_key_ingredient,0.9938144329896907,0.4006833031619947,0.5898499079586305,485
balance_minor_amount_adjustment_hard,0.9941520467836257,0.4084640745269625,0.5909349428631409,684
synergy_similar_ingredient_replacement_hard,0.9941520467836257,0.40846407439625054,0.590934942601717,684
synergy_insert_different_type,0.9974683544303797,0.4481242054625402,0.5812892726705045,395
conflict_acid_sweetener_ratio_break,1.0,0.42935655012235535,0.5829310345125722,273
conflict_create_incompatible_type_pair,1.0,0.4673227704677385,0.5749199236791158,97
conflict_add_extra_base_spirit,0.9866666666666667,0.4459698674413893,0.5760618930392795,225
balance_change_amount,1.0,0.43154096823472243,0.5819741868972779,325
synergy_replace_with_different_type,0.9917582417582418,0.41647387746271197,0.5872126861915483,364
synergy_replace_with_different_anchor,0.9899244332493703,0.42365693197742815,0.5856247856574935,397
