rank,eta1_flavor,eta2_role,eta3_type,eta4_ratio,accuracy,average_margin,evaluations
1,0.3032931514835794,0.23153209638077432,0.31283293185950084,0.15234182027614546,0.8235294117647058,0.023448307211866578,17
2,0.3258494961269784,0.2478007242139863,0.20001220153483784,0.22633757812419744,0.8235294117647058,0.025010118445468382,17
3,0.21588905564567173,0.2056465264971185,0.21296495736622278,0.36549946049098697,0.8235294117647058,0.02038706049574098,17
4,0.24435727443337898,0.2672880098421396,0.16943738469186,0.3189173310326213,0.8235294117647058,0.02721063858163543,17
5,0.2618202457072974,0.34978780679787663,0.22176730903652578,0.16662463845830022,0.8235294117647058,0.03660787849732844,17
6,0.12263381570851464,0.2919680973201885,0.3078466994087534,0.27755138756254344,0.8235294117647058,0.030408525250207683,17
7,0.20429218625017845,0.18051687280967563,0.32797751944419823,0.2872134214959476,0.8235294117647058,0.01782186593736826,17
8,0.1699523603884171,0.20983157641634842,0.3742640333535313,0.2459520298417032,0.8235294117647058,0.021258848727546794,17
9,0.2458475022336869,0.289625453696107,0.19770358131073876,0.26682346275946733,0.8235294117647058,0.029789296860746953,17
10,0.15806985565466877,0.3639331491383785,0.20640178556889707,0.2715952096380556,0.8235294117647058,0.03826019077918154,17
